epoch,loss,val_loss
0,0.24875008829042944,0.20438621728922593
1,0.14905346729479299,0.1749492481362791
2,0.14306595455126397,0.18309458097218514
3,0.13899349594993024,0.19044523018413034
4,0.13364434090671778,0.16924033874715697
5,0.12877395641822398,0.15015767443351336
6,0.12604301512614474,0.14553938295873564
7,0.12536507780796299,0.15745372061765583
8,0.123922048693345,0.16830017143549772
9,0.12248437496045013,0.15612654942136142
10,0.12130910891555657,0.1538681026967354
11,0.12017287570452653,0.16101637476696934
12,0.11972376644751276,0.15054899979760336
13,0.11835418839782989,0.15639742239655635
251s
