epoch,loss,val_loss
0,0.46530911366305133,0.37974145093214201
1,0.28881035663437543,0.29121878573510529
2,0.23878877390126188,0.27506592086191928
3,0.21947494742467211,0.2417217153288452
4,0.20741928195419956,0.24854107717896223
5,0.20042332968601673,0.22490812862633766
6,0.19481087277487791,0.22437873151195184
7,0.19155528888928874,0.22237475325775505
8,0.18826511560471457,0.21688426844636152
9,0.1855385799118735,0.21770676751708271
10,0.18322333451937736,0.20655057613322797
11,0.18263272292653771,0.21186841212854848
12,0.17906540129986157,0.2152050849873475
13,0.1777966012735881,0.20909713153981985
14,0.17655093867079655,0.21158764152491139
15,0.17505354305953688,0.20468265372938876
16,0.1745067668216897,0.20039288899425264
17,0.1725294346981435,0.19867011024041123
18,0.17137987481854758,0.20886026667744925
19,0.17076831985816329,0.21218064637219861
20,0.16970039743164275,0.20385646538788013
21,0.16846876081394183,0.21191442271743374
22,0.16766298690586381,0.21085933658960607
23,0.1670425535723985,0.20767946594886566
24,0.16624487608578278,0.20601663780346346
482s
