epoch,loss,val_loss
0,1.7565740058555392,1.1793331253252606
1,0.9844195679936466,0.68984162696178852
2,0.68712715091888887,0.42891945159640038
3,0.48061984252973394,0.14323879526879379
4,0.34589207739484734,0.0016587295578521432
5,0.26549088689955302,-0.024348791385426994
6,0.16493979723053609,-0.089630947941448186
7,0.096036947505611772,-0.07625030532000758
8,0.040410425767343487,-0.25817969803648977
9,0.0035102269082141514,-0.083386009646672823
10,-0.06941690011159965,-0.31491532231263031
11,-0.094503894098628888,-0.29366373604050849
12,-0.12821123869893314,-0.38883609068180036
13,-0.16417593491066496,-0.41089964302463972
14,-0.20959705692109004,-0.39206109429091279
15,-0.2257615881377027,-0.45027801993736322
16,-0.26800242322065981,-0.3954496164211504
17,-0.29811774750678066,-0.43307280297306955
18,-0.30902149159355408,-0.49992528991791807
19,-0.33856341018248437,-0.56342956345859441
20,-0.37488106891827011,-0.47404540212765123
21,-0.37387943777002181,-0.50914908991744035
22,-0.40252302324520567,-0.59818503518795418
23,-0.44307111498688906,-0.58044803574336301
24,-0.45323656451581923,-0.56726410862578658
25,-0.46756718824152332,-0.60523610396826777
26,-0.48437789003309256,-0.61407685899707787
27,-0.51557093679522503,-0.58689096182740563
28,-0.51352530791058004,-0.60272048526152111
29,-0.52396903892485625,-0.66991587057765334
30,-0.55695070036773175,-0.62635211873579777
31,-0.57402715779137548,-0.62265836622752391
32,-0.55757734714354212,-0.64002331088090492
33,-0.58317608769938667,-0.6090256465269257
34,-0.58862592620001708,-0.63509257012022535
35,-0.59948118919631299,-0.64994957193988223
36,-0.6038696225469643,-0.68847580066004999
37,-0.61902849446951413,-0.59969878985732239
38,-0.62821081092224329,-0.69153326231210066
39,-0.63263738049376894,-0.57772657797895122
40,-0.65583941102792753,-0.69808496267738585
41,-0.65110484217417341,-0.62899551803525744
42,-0.67309410323744845,-0.6743215104597019
43,-0.65847890769309891,-0.64574932842845789
44,-0.66732082982111374,-0.61659140020186021
45,-0.67493761017385911,-0.69952945988778303
46,-0.68466083033165726,-0.63067037340662568
47,-0.69531660356399227,-0.65747311203848346
48,-0.70787166596333118,-0.64800063527903506
49,-0.70312360918489103,-0.71778632027164513
50,-0.70874069321603539,-0.67042472974701195
51,-0.72374085289529444,-0.69086720434429927
52,-0.7138852348795296,-0.65183052184690371
53,-0.72257904103870896,-0.69706848491876316
54,-0.73730291286594385,-0.66768326062244476
55,-0.72446845344837163,-0.67431378432169076
56,-0.75580947628598161,-0.70101555584859632
689s
