epoch,loss,val_loss
0,1.5106081906824338,0.50417360263364808
1,0.64808736864847893,0.12540123113640794
2,0.32353555821923691,-0.14881318482729766
3,0.14569067949042686,-0.2463473148174114
4,0.0047669189843439503,-0.3153719924591683
5,-0.10980807411148256,-0.39674498879157744
6,-0.21471351357236021,-0.41925732369895452
7,-0.28664712818458332,-0.47756895814929995
8,-0.36548772790488004,-0.51706835568488185
9,-0.42372034685106424,-0.61450803301355861
10,-0.48370815353014379,-0.6294920648540463
11,-0.52662326077042665,-0.55308492162206147
12,-0.55752724334755244,-0.6915837586463035
13,-0.59466703953197586,-0.71670983073947669
14,-0.62658480574816766,-0.70649727121129768
15,-0.65551111906325454,-0.75410221331828353
16,-0.68695170840995057,-0.70152498859542989
17,-0.702322919506288,-0.80805105669004418
18,-0.72523713283475622,-0.83329145027710516
19,-0.75834530177739323,-0.74355861184833283
20,-0.7610718767950192,-0.8181794613331288
21,-0.79420141787289489,-0.77849723004006055
22,-0.78329292481746693,-0.78203501615438376
23,-0.80069319444319254,-0.77599602368500853
24,-0.81728876953746865,-0.86426670057279564
25,-0.82415504068690504,-0.86308589540086356
26,-0.8398924243584257,-0.86004336180987662
27,-0.85125737954837621,-0.82676795688835347
28,-0.85810609070412203,-0.81102639189711567
29,-0.86777548937877735,-0.82221842209498086
30,-0.88837618646728977,-0.81332766322402261
31,-0.89082002048968256,-0.84959303237296435
638s
