epoch,loss,val_loss
0,1.4511067149357293,1.2726115159319977
1,0.55834758186492672,0.73480378852788275
2,0.33132314014311037,0.52874706764481572
3,0.19226640694962141,0.37429477387360666
4,0.13510150429063711,0.42708111771161517
5,0.0812561299247197,0.42474025687067707
6,0.047589180509027204,0.33108640960687141
7,0.0040310051637335708,0.37904222777148233
8,-0.011192244361526668,0.35038087741087004
9,-0.037253452369723078,0.26183483730804269
10,-0.04275436203676862,0.19317093367681526
11,-0.087098374385565239,0.58976745974658074
12,-0.11338757448636305,0.2056896825485727
13,-0.09574286843807743,0.20131260360657149
14,-0.10929537499650789,0.33098541436976503
15,-0.14793906801234419,0.32892617036777488
16,-0.13499361478363553,0.13224661476551855
17,-0.15944354808606659,0.14882495005925497
18,-0.1629306774812575,0.28199838027783108
19,-0.18113480949292357,0.093392582690706077
20,-0.19856713578021659,0.22029295031773724
21,-0.20462445663615539,-0.058483303030429083
22,-0.19100911390429107,0.090848385340427135
23,-0.20145155670948492,-0.071455599116229784
24,-0.23052981339347439,0.34054876267667117
25,-0.23431359151729381,-0.12465103472163255
26,-0.25002315645210277,0.18618578843304853
27,-0.25778192712571291,0.26132282126503642
28,-0.25876517320117248,0.14477416812256283
29,-0.26744051041980138,0.14971631527335641
30,-0.28924429746338737,0.13575614149626816
31,-0.30444287142148035,-0.095829154916575218
32,-0.28894709961149639,0.41023007280572021
372s
